frac_removed,giant_component,lambda2,mode
0.0,0.1206620395088094,1.3331204349604842e-14,random
0.039508809396689805,0.11478910838227442,-1.5327659483108153e-15,random
0.07901761879337961,0.11105178857447945,0.003541559080334738,random
0.11852642819006941,0.10945008008542445,5.7995434123003426e-15,random
0.15803523758675922,0.10517885744794447,0.00339003382633201,random
0.19754404698344902,0.0982381206620395,0.003516278489652544,random
0.23705285638013882,0.08168713294180459,-9.690307949252035e-16,random
0.2765616657768286,0.07794981313400962,0.0033058122950831654,random
0.31607047517351844,0.062466631073144686,-5.140121167037936e-16,random
0.3555792845702082,0.039508809396689805,8.046789850215461e-16,random
0.39508809396689804,0.037907100907634814,1.254498597067929e-15,random
0.4345969033635878,0.029364655632674853,0.026230366552177694,random
0.47410571276027763,0.02829684997330486,2.2625058698982355e-15,random
0.5136145221569675,0.023491724506139882,-1.6656813504495204e-15,random
0.5531233315536572,0.019754404698344902,1.9152336872131346e-15,random
0.592632140950347,0.01761879337960491,0.025694003857637576,random
0.6321409503470369,0.015483182060864922,-2.557488326736775e-15,random
0.6716497597437266,0.013347570742124934,1.5225911534727604e-16,random
0.7111585691404164,0.009076348104644954,-3.0966337448290236e-17,random
0.7506673785371063,0.007474639615589963,1.5717929677229797e-15,random
0.7901761879337961,0.0069407367859049655,1.5267279661774331e-15,random
0.8296849973304858,0.0058729311265349705,8.641150039660296e-16,random
0.8691938067271756,0.005339028296849973,7.037719785264171e-17,random
0.9087026161238655,0.0037373198077949813,6.421863272446776e-16,random
0.9482114255205553,0.0026695141484249867,-5.332819636001793e-47,random
0.987720234917245,0.0005339028296849973,0.0,random
0.0,0.1206620395088094,-1.4082140107510869e-14,betweenness
0.039508809396689805,0.04164442071542979,0.028460738998729074,betweenness
0.07901761879337961,0.037907100907634814,1.2843945680267336e-15,betweenness
0.11852642819006941,0.036305392418579815,4.186697047568699e-15,betweenness
0.15803523758675922,0.02989855846235985,-1.3339350390877743e-15,betweenness
0.19754404698344902,0.025093432995194873,6.774681343444181e-16,betweenness
0.23705285638013882,0.02402562733582488,0.020355631285201053,betweenness
0.2765616657768286,0.022957821676454885,4.1118301655212077e-16,betweenness
0.31607047517351844,0.01601708489054992,2.9572088585016475e-16,betweenness
0.3555792845702082,0.00800854244527496,8.458626676955585e-17,betweenness
0.39508809396689804,0.00800854244527496,1.0407863827822883e-15,betweenness
0.4345969033635878,0.004805125467164976,-2.4901459764650694e-16,betweenness
0.47410571276027763,0.003203416978109984,1.3030152092956451e-15,betweenness
0.5136145221569675,0.0026695141484249867,2.856094277232587e-16,betweenness
0.5531233315536572,0.0026695141484249867,5.691780535483136e-16,betweenness
0.592632140950347,0.0026695141484249867,1.4646871842554812e-15,betweenness
0.6321409503470369,0.0026695141484249867,-5.551115123125805e-16,betweenness
0.6716497597437266,0.0026695141484249867,1.049923038462927e-15,betweenness
0.7111585691404164,0.0026695141484249867,7.247107345603083e-16,betweenness
0.7506673785371063,0.0026695141484249867,1.3523008684872158e-16,betweenness
0.7901761879337961,0.0026695141484249867,3.004800228821604e-16,betweenness
0.8296849973304858,0.0026695141484249867,1.1996625677302056e-15,betweenness
0.8691938067271756,0.0026695141484249867,2.333364715497909e-18,betweenness
0.9087026161238655,0.002135611318739989,-1.9443926588082805e-17,betweenness
0.9482114255205553,0.001601708489054992,3.583721605477343e-52,betweenness
0.987720234917245,0.0010678056593699946,0.0,betweenness
